"SYMBOL","NAME","LAST_TRADE","CHANGE_VOLUME","CHANGE_PERCENTAGE","VOLUME"
"AMBITION.BO","Ambition Mica Limited","60.00
4 Sep 3:28pm","10.00","(20.00%)","54,000"
"MAANALU.BO","MAAN ALUMINIUM LTD.","30.75
4 Sep 3:27pm","5.10","(19.88%)","111"
"POTENTIAL.BO","POTENTIAL INVESTMENTS & FINANC","33.45
4 Sep 3:28pm","5.45","(19.46%)","53,531"
"SAPPL.BO","Shree Ajit Pulp And Paper Ltd.","110.00
4 Sep 3:29pm","15.50","(16.40%)","2,185"
"HDFCBANK6.BO","HDFC BANK LTD","1,170.00
4 Sep 3:29pm","159.55","(15.79%)","696,199"
"INDRAIND.BO","Indra Industries Ltd.","28.00
4 Sep 3:28pm","3.60","(14.75%)","13,712"
"TRANSCOR.BO","TRANSCORP INTERNATIONAL LTD.","59.25
4 Sep 3:28pm","6.00","(11.27%)","34"
"DHARSUGAR.BO","DHARANI SUGARS & CHEMICALS LTD","11.20
4 Sep 3:12pm","1.13","(11.22%)","6"
"POLYMAC.BO","POLYMAC THERMOFORMERS LTD","22.00
4 Sep 10:37am","2.00","(10.00%)","800"
"TRANSFD.BO","TRANSGLOBE FOODS LTD.","103.45
4 Sep 3:03pm","9.40","(9.99%)","16,047"
"ELECTHERM.BO","ELECTROTHERM (INDIA) LTD.","33.85
4 Sep 3:25pm","3.05","(9.90%)","15,511"
"MAHASTEEL.BO","MAHAMAYA STEEL INDUSTRIES LTD.","39.85
4 Sep 3:46pm","3.40","(9.33%)","59,244"
"FAIRDSY.BO","FAIR DEAL FILAMENTS LTD.","26.40
4 Sep 3:29pm","2.25","(9.32%)","715"
"CHMBBRW.BO","CHAMBAL BREWERIES & DISTILLERI","16.75
4 Sep 3:44pm","1.40","(9.12%)","87,501"
"SKIL.BO","SKYLINE VENTURES INDIA LIMITED","152.40
4 Sep 3:19pm","12.40","(8.86%)","3,505"
"SMRUTHI.BO","SMRUTHI ORGANICS LTD.","121.60
4 Sep 3:20pm","9.30","(8.28%)","933"
"YUKEN.BO","YUKEN INDIA LTD.","280.00
4 Sep 3:29pm","21.20","(8.19%)","2,919"
"PAEL.BO","PAE LTD.","15.00
4 Sep 3:24pm","1.12","(8.07%)","4,484"
"GUJBOROS.BO","GUJARAT BOROSIL LTD.","31.60
4 Sep 3:48pm","2.30","(7.85%)","102,377"
"ORIBEVER.BO","ORIENT BEVERAGES LTD.","101.20
4 Sep 3:16pm","7.30","(7.77%)","25"
"SPICEMOBI.BO","SPICE MOBILITY LIMITED","20.90
4 Sep 3:27pm","1.50","(7.73%)","1,281"
"SWASTIKA.BO","SWASTIKA INVESTMART LTD.","35.50
4 Sep 3:41pm","2.50","(7.58%)","65"
"CHANDRAP.BO","CHANDRA PRABHU INTERNATIONAL L","15.10
4 Sep 3:29pm","1.05","(7.47%)","4"
"CREST.BO","CREST","44.00
4 Sep 3:29pm","3.05","(7.45%)","2"
"PACIFICI.BO","PACIFIC INDUSTRIES LTD.","144.90
4 Sep 3:29pm","9.90","(7.33%)","6"
"PARRYSUGAR.BO","PARRYS SUGAR INDUSTRIES LTD.","17.15
4 Sep 3:27pm","1.15","(7.19%)","3,380"
"GRMOVER.BO","GRM OVERSEAS LTD.","64.00
4 Sep 2:29pm","4.00","(6.67%)","462"
"TARMAT.BO","TARMAT LTD.","24.50
4 Sep 3:49pm","1.45","(6.29%)","20,027"
"TECPO.BO","TECHTRAN POLYLENSES LTD.","12.90
4 Sep 3:07pm","0.75","(6.17%)","320"
"GRASIM6.BO","GRASIM INDUSTRIES LTD","3,635.00
4 Sep 3:22pm","208.70","(6.09%)","2,030"
"SHEMAROO.BO","SHEMAROO ENTERTAINMENT LIMITED","273.80
4 Sep 3:48pm","15.50","(6.00%)","39,101"
"MEL.BO","Meenakshi Enterprises Ltd.","230.00
4 Sep 12:58pm","13.00","(5.99%)","510"
"AUSOMENT.BO","AUSOM ENTERPRISE LIMITED","23.90
4 Sep 3:03pm","1.35","(5.99%)","320"
"ALFREDHE.BO","ALFRED HERBERT (INDIA) LTD.","394.90
4 Sep 3:29pm","22.30","(5.98%)","1"
"RIBATEX.BO","RIBA TEXTILES LTD.","16.95
4 Sep 2:02pm","0.95","(5.94%)","20"
"BNRSEC.BO","B.N.RATHI SECURITIES LTD.","26.80
4 Sep 3:29pm","1.50","(5.93%)","387"
"PRWOLEN.BO","PRAKASH WOOLLEN MILLS LTD.","25.95
4 Sep 3:58pm","1.45","(5.92%)","4"
"CAPPIPES.BO","Captain Pipes Limited","37.00
4 Sep 12:08pm","2.00","(5.71%)","3,000"
"PONNIERODE.BO","PONNI SUGARS (ERODE) LTD.","154.50
4 Sep 11:02am","8.20","(5.60%)","18"
"TITAN6.BO","TITAN COMPANY LTD","345.00
4 Sep 3:12pm","18.30","(5.60%)","720,889"
"AHLWEST.BO","ASIAN HOTELS (WEST) LTD.","119.00
4 Sep 11:22am","6.10","(5.40%)","601"
"SALONACOT.BO","SALONA COTSPIN LTD.","29.50
4 Sep 3:06pm","1.50","(5.36%)","2,555"
"MOHITIND.BO","MOHIT INDUSTRIES LTD.","44.00
4 Sep 3:29pm","2.20","(5.26%)","15,446"
"MEDICAMEQ.BO","MEDICAMEN BIOTECH LTD.","18.45
4 Sep 2:36pm","0.90","(5.13%)","1,000"
"RASANDIK.BO","RASANDIK ENGINEERING INDUSTRIE","53.00
4 Sep 3:29pm","2.55","(5.05%)","1,345"
"JAUSPOL.BO","JAUSS POLYMERS LTD.","19.95
4 Sep 2:27pm","0.95","(5.00%)","13,254"
"KEMP.BO","KEMP & COMPANY LTD.","474.60
4 Sep 2:33pm","22.60","(5.00%)","1"
"AMTL.BO","ADVANCE METERING TECHNOLOGY LT","21.00
4 Sep 3:29pm","1.00","(5.00%)","13,808"
"CONTPTR.BO","CONTINENTAL PETROLEUMS LTD.","13.65
4 Sep 3:12pm","0.65","(5.00%)","5"
"ABCGAS.BO","ABC GAS (INTERNATIONAL) LTD.","22.05
4 Sep 9:20am","1.05","(5.00%)","5"
"MPILCORPL.BO","MPIL CORPORATION LTD.","72.45
4 Sep 12:41pm","3.45","(5.00%)","20"
"KESARPE.BO","KESAR PETROPRODUCTS LTD.","273.10
4 Sep 3:15pm","13.00","(5.00%)","188"
"VORACON.BO","VORA CONSTRUCTIONS LTD.","14.73
4 Sep 11:42am","0.70","(4.99%)","1"
"TULIPSTA.BO","TULIP STAR HOTELS LTD.","65.25
4 Sep 12:02pm","3.10","(4.99%)","2"
"SRGHFL.BO","SRG HOUSING FINANCE LTD.","57.90
4 Sep 9:34am","2.75","(4.99%)","402"
"RIR.BO","RUTTONSHA INTERNATIONAL RECTIF","18.95
4 Sep 2:23pm","0.90","(4.99%)","520"
"BHARAT.BO","BHARAT BHUSHAN SHARE & COMMODI","10.76
4 Sep 2:32pm","0.51","(4.98%)","200"
"GARWAMAR.BO","GARWARE MARINE INDUSTRIES LTD.","28.50
4 Sep 2:22pm","1.35","(4.97%)","100"
"SRINACHA.BO","SRI NACHAMMAI COTTON MILLS LTD","16.48
4 Sep 12:15pm","0.78","(4.97%)","778"
"SPENTA.BO","SPENTA INTERNATIONAL LTD.","93.05
4 Sep 3:21pm","4.40","(4.96%)","18,256"
"MORGAN.BO","MORGAN VENTURES LTD.","12.91
4 Sep 1:06pm","0.61","(4.96%)","1"
"MAHAPEXLTD.BO","MAHA RASHTRA APEX CORPORATION","13.35
4 Sep 1:06pm","0.63","(4.95%)","7,457"
"UNQTYMI.BO","UNION QUALITY PLASTICS LTD.","10.81
4 Sep 2:38pm","0.51","(4.95%)","1"
"NDMETAL.BO","N.D.METAL INDUSTRIES LTD.","25.45
4 Sep 12:25pm","1.20","(4.95%)","2"
"RAP.BO","RAP MEDIA LTD.","12.09
4 Sep 3:15pm","0.57","(4.95%)","435"
"INTRGLB.BO","INTER GLOBE FINANCE LTD.","14.23
4 Sep 3:20pm","0.67","(4.94%)","1"
"TVSELECT.BO","TVS ELECTRONICS LTD.","112.80
4 Sep 3:26pm","5.30","(4.93%)","35,761"
"STINDIA.BO","STI INDIA LTD.","11.07
4 Sep 3:29pm","0.52","(4.93%)","50"
"KUMARWI.BO","KUMAR WIRE CLOTH MANUFACTURING","21.30
4 Sep 1:49pm","1.00","(4.93%)","3,502"
"VIRATCRA.BO","VIRAT CRANE INDUSTRIES LTD.","41.55
4 Sep 3:29pm","1.95","(4.92%)","7,652"
"CSURGSU.BO","CENTENIAL SURGICAL SUTURE LTD.","54.35
4 Sep 10:07am","2.55","(4.92%)","1"
"LORDSCHLO.BO","LORDS CHLORO ALKALI LTD.","30.95
4 Sep 3:25pm","1.45","(4.92%)","871"
"SADHNANIQ.BO","SADHANA NITROCHEM LTD.","20.40
4 Sep 2:53pm","0.95","(4.88%)","5,360"
"JAYSYN.BO","JAYSYNTH DYESTUFF (INDIA) LTD.","41.95
4 Sep 2:41pm","1.95","(4.88%)","99"
"STEWARTQ.BO","STEWARTS & LLOYDS OF INDIA LTD","23.70
4 Sep 2:15pm","1.10","(4.87%)","1"
"FOMEHOT.BO","FOMENTO RESORTS & HOTELS LTD.","99.20
4 Sep 3:45pm","4.60","(4.86%)","230"
"KFBL.BO","KOTHARI FERMENTATION & BIOCHEM","12.30
4 Sep 3:14pm","0.57","(4.86%)","1,600"
"GAYATRIBI.BO","GAYATRI BIOORGANICS LTD.","11.45
4 Sep 2:56pm","0.53","(4.85%)","146"
"SJCORP.BO","SJ CORPORATION LTD.","24.85
4 Sep 3:01pm","1.15","(4.85%)","903"
"INLCM.BO","INDIAN LINK CHAIN MANUFACTURES","676.00
4 Sep 3:16pm","31.25","(4.85%)","10"
"CNSDSEC.BO","CONSOLIDATED SECURITIES LTD.","68.30
4 Sep 3:27pm","3.15","(4.83%)","5"
"SAYAJIHOTL.BO","SAYAJI HOTELS LTD.","167.20
4 Sep 11:08am","7.70","(4.83%)","854"
"AEL.BO","Amba Enterprises Ltd.","126.20
4 Sep 3:28pm","5.80","(4.82%)","70"
"VRL.BO","VASUNDHARA RASAYANS LTD","30.50
4 Sep 10:38am","1.40","(4.81%)","9"
"GOLDLINE.BO","GOLD LINE INTERNATIONAL FINVES","194.00
4 Sep 2:07pm","8.90","(4.81%)","35"
"DHANFAB.BO","DHANLAXMI FABRICS LTD.","30.80
4 Sep 3:15pm","1.40","(4.76%)","10"
"HARLETH.BO","HARYANA LEATHER CHEMICALS LTD.","25.30
4 Sep 3:26pm","1.15","(4.76%)","1,305"
"JJEXPO.BO","J.J.EXPORTERS LTD.","11.90
4 Sep 10:15am","0.54","(4.75%)","1"
"KUNSTOFF.BO","KUNSTSTOFFE INDUSTRIES LTD.","13.90
4 Sep 3:27pm","0.63","(4.75%)","220"
"FAZE3Q.BO","FAZE THREE LTD.","12.15
4 Sep 1:51pm","0.55","(4.74%)","489"
"JYOTHYLAB.BO","JYOTHY LABORATORIES LTD.","320.80
4 Sep 3:44pm","14.50","(4.73%)","121,409"
"KALPACOMME.BO","Kalpa Commercial Limited","335.00
4 Sep 3:28pm","15.10","(4.72%)","4,440"
"SUPREME.BO","SUPREME HOLDINGS & HOSPITALITY","33.30
4 Sep 9:50am","1.50","(4.72%)","50"
"SHREERAM.BO","SHREE RAM URBAN INFRASTRUCTURE","77.90
4 Sep 3:17pm","3.50","(4.70%)","115"
"SMIFS.BO","SMIFS CAPITAL MARKETS LTD.","22.50
4 Sep 3:29pm","1.00","(4.65%)","24,062"
"SPELS.BO","SPEL SEMICONDUCTOR LTD.","12.00
4 Sep 3:29pm","0.53","(4.62%)","72,433"
"AMRITCORP.BO","AMRIT CORP.LTD.","390.00
4 Sep 3:02pm","17.00","(4.56%)","245"
"MYSORPETRO.BO","MYSORE PETRO CHEMICALS LTD.","52.90
4 Sep 3:28pm","2.30","(4.55%)","1,125"
"LINKPH.BO","LINK PHARMA CHEM LTD.","11.50
4 Sep 9:56am","0.50","(4.55%)","106"
"USHDI.BO","USHDEV INTERNATIONAL LTD.","307.30
4 Sep 3:11pm","13.30","(4.52%)","5"
